Command,Expected Output
echo "Hello World!","Hello World!"
echo input.txt,"A C++ program is a sequence of text files (typically header and source files) that contain declarations. They undergo translation to become an executable program, which is executed when the C++ implementation calls its main function."
echo files/text/input.txt,"C++ is a high-level, general-purpose programming language created by Danish computer scientist Bjarne Stroustrup."
echo (with heredoc),"Hello World!
How are you?"
echo <hello.txt >out.txt,""
echo <hello.txt >>out.txt,"Hello World!Hello World!"
prompt "?","?"
prompt "$","$"
time,"19:20:45 (time format may vary)"
date,"28.11.2024. (date format may vary)"
date > out.txt,"28.11.2024. (date format may vary)"
touch output.txt,""
touch output.txt,"Error! File already exists! (error message may vary)"
echo <hello.txt >out.txt,""
truncate out.txt,"(file out.txt is empty)"
touch temp.txt,""
rm temp.txt,"(directory does not contain file temp.txt)"
wc -w input.txt,"36"
wc -c "Hello World!","12"
wc -w (with heredoc),"Hello World!
How are you?
EOF → 5"
tr " " (with heredoc),"HelloWorld!
Howareyou?"
tr input.txt "execut" "E","A C++ program is a sequence of text files (typically header and source files) that contain declarations. They undergo translation to become an Eable program, which is Eed when the C++ implementation calls its main function."
head -n1 (with heredoc),"Hello World!"
batch commands.txt,"Error! Command stopwatch does not exist! (error message may vary)"
echo < commands.txt | head -n3 | tr "time" "date" | batch,"date: 28.11.2024. (date format may vary)"
